Runde;Block;Gebot;Bietender
12;02A 2 GHz;8052000;Vodafone
12;03A 2 GHz;8052000;Telefónica Deutschland
12;04A 2 GHz;7320000;Telekom
12;05A 2 GHz;8052000;Vodafone
12;06A 2 GHz;8052000;1&1 Drillisch
12;07A 2 GHz;27500000;Vodafone
12;08A 2 GHz;25000000;1&1 Drillisch
12;09A 2 GHz (2026);5489000;Telefónica Deutschland
12;10A 2 GHz (2026);6640000;Telefónica Deutschland
12;11A 2 GHz (2026);23750000;1&1 Drillisch
12;12A 2 GHz (2026);26125000;Vodafone
12;01K 3,6 GHz;Kein Gebot;Kein Gebot
12;02A 3,6 GHz;2057000;Telekom
12;03A 3,6 GHz;2057000;Telekom
12;04A 3,6 GHz;2262000;Telefónica Deutschland
12;05A 3,6 GHz;2057000;Vodafone
12;06A 3,6 GHz;2262000;1&1 Drillisch
12;07A 3,6 GHz;2262000;Telekom
12;08A 3,6 GHz;2262000;Telekom
12;09A 3,6 GHz;2262000;Telekom
12;10A 3,6 GHz;2057000;Vodafone
12;11A 3,6 GHz;2262000;Telekom
12;12A 3,6 GHz;2262000;Telekom
12;13A 3,6 GHz;2057000;Telefónica Deutschland
12;14A 3,6 GHz;2057000;Telefónica Deutschland
12;15A 3,6 GHz;2057000;Telefónica Deutschland
12;16A 3,6 GHz;2057000;Telefónica Deutschland
12;17A 3,6 GHz;2057000;Telefónica Deutschland
12;18A 3,6 GHz;2057000;Telefónica Deutschland
12;19A 3,6 GHz;2262000;Telekom
12;20A 3,6 GHz;2057000;Vodafone
12;21A 3,6 GHz;2057000;Vodafone
12;22A 3,6 GHz;2057000;Vodafone
12;23A 3,6 GHz;2057000;Vodafone
12;24A 3,6 GHz;23870000;Vodafone
12;25A 3,6 GHz;23870000;Vodafone
12;26A 3,6 GHz;21700000;1&1 Drillisch
12;27A 3,6 GHz;21700000;1&1 Drillisch
12;28A 3,6 GHz;21700000;1&1 Drillisch
12;29K 3,6 GHz;23870000;Telekom
13;01A 2 GHz;8052000;Telekom
13;02A 2 GHz;8052000;Vodafone
13;03A 2 GHz;8857000;Telekom
13;04A 2 GHz;8052000;Telefónica Deutschland
13;05A 2 GHz;8052000;Vodafone
13;06A 2 GHz;8857000;Telekom
13;07A 2 GHz;27500000;Vodafone
13;08A 2 GHz;25000000;1&1 Drillisch
13;09A 2 GHz (2026);6037000;1&1 Drillisch
13;10A 2 GHz (2026);6640000;Telefónica Deutschland
13;11A 2 GHz (2026);23750000;1&1 Drillisch
13;12A 2 GHz (2026);26125000;Vodafone
